date,symbol,monto_operado,volumen_nominal,cantidad_operaciones,ultimo_precio,precio_compra,precio_venta,spread_abs,spread_pct,moneda,tipo_liquidacion
2026-06-09,YMCXX,2972000384.87,1850139.0,0,160636.6,0.0,0.0,,,ARS,2
2026-06-09,TLCPO,762134598.8,480669.0,0,159000.0,155000.0,164000.0,9000.0,5.8065,ARS,2
2026-06-09,YMCXO,743736348.6,463422.0,0,161000.0,160150.0,162600.0,2450.0,1.5298,ARS,2
2026-06-09,PLC4O,398860800.0,255000.0,0,156650.0,0.0,0.0,,,ARS,2
2026-06-09,T671O,329943000.0,327000000.0,0,100.9,0.0,0.0,,,ARS,2
2026-06-09,PNECO,310750000.0,250000.0,0,124300.0,76600.0,0.0,,,ARS,2
2026-06-09,TTCEO,238356543.1,166227.0,0,143190.0,0.0,0.0,,,ARS,2
2026-06-09,PQCSO,222235243.5,152249.0,0,148790.0,0.0,150000.0,,,ARS,2
2026-06-09,YMCIO,222221445.0,138922.0,0,160000.0,154910.0,162400.0,7490.0,4.8351,ARS,2
2026-06-09,YMCJO,221370141.6,146892.0,0,151000.0,148000.0,153000.0,5000.0,3.3784,ARS,2
2026-06-09,YM39O,191231006.8,118220.0,0,164400.0,0.0,0.0,,,ARS,2
2026-06-09,PN35O,181140966.4,119461.0,0,151900.0,0.0,0.0,,,ARS,2
2026-06-09,YM38O,170562397.1,113488.0,0,150150.0,0.0,0.0,,,ARS,2
2026-06-09,MSSGO,109502880.1,74997.0,0,144000.0,0.0,148500.0,,,ARS,2
2026-06-09,TTC9O,95951247.4,63556.0,0,150200.0,0.0,156500.0,,,ARS,2
2026-06-09,OZC3O,87781288.4,60180.0,0,144500.0,0.0,147790.0,,,ARS,2
2026-06-09,CACBO,75288367.4,51392.0,0,146490.0,0.0,0.0,,,ARS,2
2026-06-09,CS48O,71505901.1,46184.0,0,154820.0,0.0,0.0,,,ARS,2
2026-06-09,CS45O,66898885.8,44053.0,0,151860.0,0.0,0.0,,,ARS,1
2026-06-09,XMC1O,62263169.1,42288.0,0,146490.0,145100.0,0.0,,,ARS,2
2026-06-09,IRCLO,57595436.0,39034.0,0,147500.0,0.0,0.0,,,ARS,2
2026-06-09,YM37O,54842622.7,37106.0,0,148150.0,0.0,0.0,,,ARS,2
2026-06-09,TLCOO,54130757.6,36645.0,0,147830.0,0.0,0.0,,,ARS,2
2026-06-09,YM38O,53177208.9,35403.0,0,149860.0,0.0,0.0,,,ARS,1
2026-06-09,SNEAO,51383616.0,81349.0,0,63000.0,59000.0,67500.0,8500.0,14.4068,ARS,2
2026-06-09,MGCQO,50976726.2,32863.0,0,154370.0,0.0,168500.0,,,ARS,2
2026-06-09,RC2CO,50097353.0,33646.0,0,146300.0,0.0,0.0,,,ARS,2
2026-06-09,ARC1O,49300300.0,32000.0,0,153720.0,0.0,0.0,,,ARS,2
2026-06-09,HJCKO,48520900.0,32000.0,0,150700.0,0.0,0.0,,,ARS,2
2026-06-09,MTCGO,45560265.0,30194.0,0,151150.0,0.0,151300.0,,,ARS,2
2026-06-09,MGCNO,45227017.7,30569.0,0,147800.0,0.0,0.0,,,ARS,2
2026-06-09,YMCYO,43093766.1,29039.0,0,149380.0,0.0,0.0,,,ARS,2
2026-06-09,PLC3O,40010310.7,26262.0,0,151370.0,0.0,0.0,,,ARS,2
2026-06-09,YMCXO,39048842.5,24388.0,0,162400.0,0.0,0.0,,,ARS,1
2026-06-09,YM39O,38037884.2,23514.0,0,163500.0,0.0,0.0,,,ARS,1
2026-06-09,TLCWO,35642500.0,25000.0,0,142570.0,0.0,0.0,,,ARS,1
2026-06-09,DEC2O,28967065.0,20082.0,0,144110.0,143600.0,147500.0,3900.0,2.7159,ARS,2
2026-06-09,BYCWO,27937100.0,19000.0,0,147710.0,0.1,0.0,,,ARS,2
2026-06-09,PN34O,26633591.6,17911.0,0,148300.0,0.0,0.0,,,ARS,2
2026-06-09,YMCIO,26594312.0,16610.0,0,159940.0,0.0,0.0,,,ARS,1
2026-06-09,YMCJO,23667637.3,15744.0,0,150300.0,0.0,0.0,,,ARS,1
2026-06-09,MR39O,20836737.8,18943.0,0,110000.0,0.0,0.0,,,ARS,2
2026-06-09,CS49O,20580321.0,13726.0,0,152000.0,0.0,0.0,,,ARS,2
2026-06-09,MSSFO,20392833.9,13965.0,0,145810.0,0.0,0.0,,,ARS,2
2026-06-09,NBS1O,19832200.0,13500.0,0,146560.0,0.0,0.0,,,ARS,2
2026-06-09,PLC4O,19118100.0,12000.0,0,160510.0,0.0,0.0,,,ARS,1
2026-06-09,TLCPO,18868297.4,11930.0,0,154220.0,1.0,0.0,,,ARS,1
2026-06-09,HJCJO,18142000.0,12000.0,0,151500.0,149710.0,0.0,,,ARS,2
2026-06-09,EMC1O,17970060.9,11882.0,0,149730.0,0.0,0.0,,,ARS,2
2026-06-09,PECNO,17684376.0,18185.0,0,97700.0,96000.0,102000.0,6000.0,6.25,ARS,2
2026-06-09,YMCYO,14272765.0,9547.0,0,149500.0,0.0,0.0,,,ARS,1
2026-06-09,GN49O,14156600.0,9000.0,0,157540.0,0.0,0.0,,,ARS,2
2026-06-09,YFCMO,11899472.9,8112.0,0,147580.0,0.0,0.0,,,ARS,2
2026-06-09,MIC6O,11740610.2,8203.0,0,143080.0,0.0,0.0,,,ARS,2
2026-06-09,YM37O,11733202.0,7998.0,0,146120.0,0.0,0.0,,,ARS,1
2026-06-09,T672O,10035736.0,7004.0,0,143400.0,0.0,0.0,,,ARS,2
2026-06-09,CS44O,9475887.6,6414.0,0,147850.0,0.0,150000.0,,,ARS,2
2026-06-09,LDCGO,9299259.5,6416.0,0,144940.0,0.0,0.0,,,ARS,2
2026-06-09,PQCSO,8586132.4,5863.0,0,146120.0,0.0,0.0,,,ARS,1
2026-06-09,CP36O,7639110.2,5336.0,0,144390.0,0.0,0.0,,,ARS,2
2026-06-09,BGC4O,7148072.0,5000.0,0,141300.0,0.0,0.0,,,ARS,2
2026-06-09,CS47O,7109352.5,4815.0,0,149900.0,0.0,0.0,,,ARS,2
2026-06-09,MGCEO,7013646.4,5039.0,0,140000.0,129430.0,0.0,,,ARS,2
2026-06-09,TLCQO,6116310.7,4087.0,0,150600.0,0.0,0.0,,,ARS,2
2026-06-09,MTCGO,5515647.3,3662.0,0,150500.0,1.0,151900.0,151899.0,15189900.0,ARS,1
2026-06-09,GN47O,4841596.2,3344.0,0,145000.0,0.0,0.0,,,ARS,2
2026-06-09,MGCQO,4745685.9,3003.0,0,155040.0,0.0,0.0,,,ARS,1
2026-06-09,MGCNO,4480393.4,2959.0,0,151980.0,0.0,0.0,,,ARS,1
2026-06-09,CAC5O,3789210.0,3985.0,0,95400.0,0.0,97500.0,,,ARS,2
2026-06-09,YMCZO,3649136.5,2415.0,0,150500.0,0.0,0.0,,,ARS,2
2026-06-09,GYC5O,3387235.0,2306.0,0,145840.0,0.0,0.0,,,ARS,2
2026-06-09,GN49O,3129000.0,2000.0,0,156450.0,0.0,0.0,,,ARS,1
2026-06-09,HJCGO,2880000.0,2000.0,0,144000.0,0.0,0.0,,,ARS,2
2026-06-09,OTS5O,2878561.0,1980.0,0,146200.0,0.0,153500.0,,,ARS,2
2026-06-09,OTS6O,2506546.0,1700.0,0,149000.0,0.0,0.0,,,ARS,2
2026-06-09,TLCQO,2339251.0,1571.0,0,148900.0,0.0,0.0,,,ARS,1
2026-06-09,NBS1O,2204700.0,1500.0,0,146980.0,0.0,0.0,,,ARS,1
2026-06-09,AFCIO,2072560.0,1400.0,0,148040.0,0.0,0.0,,,ARS,2
2026-06-09,YM34Z,2001150.48,1917619.0,0,104.356,0.0,0.0,,,EXT,2
2026-06-09,YMCXZ,2000000.26,1850139.0,0,108.1,0.0,0.0,,,EXT,2
2026-06-09,YM34Z,1999999.91,1917619.0,0,104.296,0.0,0.0,,,EXT,1
2026-06-09,TLCOO,1956763.9,1332.0,0,147010.0,0.0,0.0,,,ARS,1
2026-06-09,TTCBO,1643413.0,1102.0,0,148980.0,141000.0,0.0,,,ARS,2
2026-06-09,ARC1O,1547400.0,1000.0,0,154740.0,0.0,0.0,,,ARS,1
2026-06-09,BYCVO,1480000.0,1000.0,0,148000.0,0.0,0.0,,,ARS,2
2026-06-09,TTC8O,1391183.2,947.0,0,146600.0,0.0,0.0,,,ARS,2
2026-06-09,LIC6O,1274138.2,2654.0,0,47950.0,46000.0,0.0,,,ARS,2
2026-06-09,CS48O,1261663.0,827.0,0,154000.0,0.0,0.0,,,ARS,1
2026-06-09,MR39O,1115210.0,1021.0,0,110000.0,0.0,0.0,,,ARS,1
2026-06-09,TLCUD,1043175.15,1010024.0,0,102.75,100.0,103.65,3.65,3.65,USD,2
2026-06-09,GN47O,1010441.4,718.0,0,140730.0,0.0,0.0,,,ARS,1
2026-06-09,MSSEO,879438.1,589.0,0,150990.0,0.0,0.0,,,ARS,2
2026-06-09,CS44O,859312.7,585.0,0,147580.0,0.0,0.0,,,ARS,1
2026-06-09,CS47O,845250.0,575.0,0,147000.0,0.0,0.0,,,ARS,1
2026-06-09,MGCTD,816813.5,812000.0,0,100.9,100.4,101.4,1.0,0.996,USD,2
2026-06-09,CAC5O,811750.0,850.0,0,95500.0,0.0,0.0,,,ARS,1
2026-06-09,TLCPZ,799999.8,737327.0,0,108.5,0.0,0.0,,,EXT,2
2026-06-09,TLCTD,723117.71,661590.0,0,109.3,108.0,110.55,2.55,2.3611,USD,2
2026-06-09,IRCLO,580080.0,400.0,0,145020.0,0.0,0.0,,,ARS,1
2026-06-09,SXC1O,490891.88,472072.0,0,104.0,0.01,110.0,109.99,1099900.0,ARS,2
2026-06-09,PN34O,490438.8,324.0,0,151370.0,0.0,0.0,,,ARS,1
2026-06-09,CICBD,351348.46,344523.0,0,102.0,101.1,104.35,3.25,3.2146,USD,2
2026-06-09,OTS3D,309508.93,300489.0,0,103.0,101.2,0.0,,,USD,2
2026-06-09,DNCAD,302204.6,289000.0,0,104.6,104.3,105.8,1.5,1.4382,USD,2
2026-06-09,CP37O,294335.0,215.0,0,136900.0,0.0,0.0,,,ARS,1
2026-06-09,PN35O,293405.6,194.0,0,151240.0,0.0,0.0,,,ARS,1
2026-06-09,YM42D,275209.04,258377.0,0,106.6,100.0,108.7,8.7,8.7,USD,2
2026-06-09,VSCTD,220685.0,200000.0,0,110.1,0.0,110.9,,,USD,2
2026-06-09,GN43O,209890.0,139.0,0,151000.0,0.0,0.0,,,ARS,2
2026-06-09,DNC3D,192402.66,188843.0,0,101.85,101.0,102.5,1.5,1.4851,USD,2
2026-06-09,PN43D,192345.0,175000.0,0,109.95,109.4,115.0,5.6,5.1188,USD,2
2026-06-09,EMC1O,184827.5,121.0,0,152750.0,0.0,0.0,,,ARS,1
2026-06-09,HJCID,181508.51,178730.0,0,101.6,98.2,0.0,,,USD,2
2026-06-09,VSCRD,175463.72,162597.0,0,107.9,0.0,108.8,,,USD,2
2026-06-09,YM39D,161403.43,143145.0,0,112.65,110.4,116.0,5.6,5.0725,USD,2
2026-06-09,VSCXC,156275.0,150000.0,0,104.25,103.0,106.5,3.5,3.3981,EXT,2
2026-06-09,MSSEO,147000.0,98.0,0,150000.0,0.0,0.0,,,ARS,1
2026-06-09,RC2CO,145468.4,100.0,0,145460.0,0.0,0.0,,,ARS,1
2026-06-09,TTCED,143980.31,143695.0,0,100.0,99.51,104.1,4.59,4.6126,USD,2
2026-06-09,CS48D,136311.4,126889.0,0,107.6,103.2,107.9,4.7,4.5543,USD,2
2026-06-09,PLC4C,130510.0,124000.0,0,105.25,0.0,0.0,,,EXT,2
2026-06-09,ARC1D,126333.5,118000.0,0,107.45,99.91,107.8,7.89,7.8971,USD,2
2026-06-09,YM39D,125603.52,110846.0,0,112.55,0.0,114.4,,,USD,1
2026-06-09,YM38D,122273.49,116578.0,0,105.15,100.0,105.2,5.2,5.2,USD,2
2026-06-09,OZC3O,118663.5,82.0,0,144550.0,1.0,0.0,,,ARS,1
2026-06-09,YM41D,114099.14,111637.0,0,102.65,101.55,103.0,1.45,1.4279,USD,2
2026-06-09,TLCTC,112005.47,106059.0,0,105.6,104.65,108.0,3.35,3.2011,EXT,2
2026-06-09,PN36D,108152.24,101604.0,0,106.4,0.0,108.0,,,USD,2
2026-06-09,RZ9BO,104500.0,110.0,0,95000.0,95000.0,0.0,,,ARS,2
2026-06-09,PFC3D,101393.61,101590.0,0,99.8,99.61,101.0,1.39,1.3954,USD,2
2026-06-09,YM35D,99807.14,97984.0,0,101.85,101.7,102.4,0.7,0.6883,USD,2
2026-06-09,PN38D,95410.06,88662.0,0,106.9,100.0,111.0,11.0,11.0,USD,2
2026-06-09,YM37D,92182.65,89398.0,0,103.3,101.6,103.9,2.3,2.2638,USD,2
2026-06-09,MIC3O,89060.0,61.0,0,146000.0,143000.0,148500.0,5500.0,3.8462,ARS,2
2026-06-09,TSC4C,85735.5,83000.0,0,103.6,102.0,0.0,,,EXT,2
2026-06-09,GN49D,82877.5,76000.0,0,109.0,107.75,111.2,3.45,3.2019,USD,2
2026-06-09,RUCED,76305.15,75900.0,0,100.55,100.4,101.0,0.6,0.5976,USD,2
2026-06-09,DNCAC,75460.1,74700.0,0,100.7,99.55,102.5,2.95,2.9633,EXT,2
2026-06-09,NPCDD,75194.38,75046.0,0,100.35,100.0,101.0,1.0,1.0,USD,2
2026-06-09,YM34C,53873.1,50204.0,0,107.3,0.0,0.0,,,EXT,2
2026-06-09,XMC1D,53136.0,51976.0,0,102.3,100.0,107.0,7.0,7.0,USD,2
2026-06-09,LUC5D,51725.57,50718.0,0,101.4,101.2,102.2,1.0,0.9881,USD,2
2026-06-09,MGCND,49034.85,47375.0,0,103.0,102.2,103.8,1.6,1.5656,USD,2
2026-06-09,SBC3D,46842.94,46650.0,0,100.5,100.0,104.2,4.2,4.2,USD,2
2026-06-09,TSC3C,44915.5,41000.0,0,109.55,0.0,0.0,,,EXT,2
2026-06-09,CACBD,41023.61,40149.0,0,101.9,100.1,103.4,3.3,3.2967,USD,2
2026-06-09,CS53D,40403.83,40077.0,0,100.8,99.91,104.0,4.09,4.0937,USD,2
2026-06-09,BF40D,40162.84,39667.0,0,101.25,98.1,0.0,,,USD,2
2026-06-09,EMC1D,40128.6,37992.0,0,105.75,99.91,105.8,5.89,5.8953,USD,2
2026-06-09,HJCJD,37970.0,36000.0,0,105.8,105.0,0.0,,,USD,2
2026-06-09,OT42D,34276.04,32116.0,0,106.25,105.3,0.0,,,USD,2
2026-06-09,IRCLD,33699.38,32732.0,0,102.35,99.91,103.75,3.84,3.8435,USD,2
2026-06-09,SNSDO,32014.2,34.0,0,94240.0,0.0,129000.0,,,ARS,2
2026-06-09,CACDD,30242.02,28300.0,0,105.1,101.75,0.0,,,USD,2
2026-06-09,PQCRO,28200.0,20.0,0,141000.0,0.0,0.0,,,ARS,2
2026-06-09,YM38D,26316.59,25138.0,0,104.75,103.4,105.5,2.1,2.0309,USD,1
2026-06-09,PN37D,25290.64,24546.0,0,103.0,101.8,112.0,10.2,10.0196,USD,2
2026-06-09,YM43D,25025.18,25206.0,0,99.6,99.56,100.8,1.24,1.2455,USD,2
2026-06-09,DNC7C,24281.45,23400.0,0,103.85,0.0,0.0,,,EXT,2
2026-06-09,CS47D,23615.01,22994.0,0,102.95,102.15,103.5,1.35,1.3216,USD,2
2026-06-09,CIC7D,22116.95,22227.0,0,99.5,98.7,105.0,6.3,6.383,USD,2
2026-06-09,YMCIC,21108.68,19597.0,0,107.85,0.0,0.0,,,EXT,2
2026-06-09,TTCEO,19391.8,13.0,0,147060.0,1.0,0.0,,,ARS,1
2026-06-09,YM42D,18270.47,17195.0,0,106.25,99.9,109.5,9.6,9.6096,USD,1
2026-06-09,AFCID,16610.25,16400.0,0,101.5,0.0,0.0,,,USD,2
2026-06-09,RC1CD,16488.5,15000.0,0,110.4,108.0,0.0,,,USD,2
2026-06-09,CS49D,16285.81,15595.0,0,104.6,102.9,104.8,1.9,1.8465,USD,2
2026-06-09,PECND,16157.12,23710.0,0,68.4,0.0,71.0,,,USD,2
2026-06-09,SXC3O,15912.75,15155.0,0,105.0,1.0,105.0,104.0,10400.0,ARS,2
2026-06-09,TLCTD,15622.85,14332.0,0,108.7,0.0,0.0,,,USD,1
2026-06-09,TTCED,14665.66,14454.0,0,101.7,98.1,107.5,9.4,9.5821,USD,1
2026-06-09,CP36D,14267.97,14327.0,0,99.5,98.7,101.0,2.3,2.3303,USD,2
2026-06-09,PLC3O,14040.0,9.0,0,156000.0,0.0,157000.0,,,ARS,1
2026-06-09,GYC4D,13744.74,13825.0,0,99.25,98.0,100.0,2.0,2.0408,USD,2
2026-06-09,YM37D,13432.15,13045.0,0,102.95,100.1,0.0,,,USD,1
2026-06-09,AERBD,12457.25,12274.0,0,103.8,0.0,0.0,,,USD,1
2026-06-09,PN36C,10660.28,10345.0,0,103.0,0.0,0.0,,,EXT,2
2026-06-09,RZ9AO,10480.0,16.0,0,65500.0,0.0,0.0,,,ARS,2
2026-06-09,LMS7D,10207.0,11800.0,0,86.5,0.0,0.0,,,USD,1
2026-06-09,LMS7D,9935.25,11422.0,0,87.3,84.0,87.6,3.6,4.2857,USD,2
2026-06-09,HJCKD,9450.0,9000.0,0,105.05,104.3,0.0,,,USD,2
2026-06-09,PECJO,9401.89,10002.0,0,95.0,0.0,99.0,,,ARS,2
2026-06-09,SBC2D,9342.16,8982.0,0,104.25,103.4,0.0,,,USD,2
2026-06-09,VBC2D,8983.48,8743.0,0,102.75,98.1,104.9,6.8,6.9317,USD,2
2026-06-09,VSCRD,8770.47,8163.0,0,107.0,0.0,0.0,,,USD,1
2026-06-09,MGCQC,8101.02,7800.0,0,104.2,0.0,0.0,,,EXT,2
2026-06-09,YM37C,7884.13,7928.0,0,99.48,0.0,0.0,,,EXT,2
2026-06-09,AERBD,7597.15,7389.0,0,103.3,102.6,103.9,1.3,1.2671,USD,2
2026-06-09,HJCKD,7270.5,7000.0,0,105.0,0.0,0.0,,,USD,1
2026-06-09,RUCED,7194.35,7200.0,0,100.55,99.5,0.0,,,USD,1
2026-06-09,OZC7O,6480.0,6000.0,0,108.0,98.5,0.0,,,ARS,2
2026-06-09,RC5CD,6438.19,6419.0,0,100.1,99.91,0.0,,,USD,2
2026-06-09,MGCND,5859.76,5618.0,0,105.0,0.0,104.5,,,USD,1
2026-06-09,HJCID,5711.4,5600.0,0,102.0,97.5,0.0,,,USD,1
2026-06-09,MGCED,5577.87,5464.0,0,100.95,95.01,0.0,,,USD,2
2026-06-09,GN49D,5458.5,5000.0,0,108.95,0.0,0.0,,,USD,1
2026-06-09,PN36D,5308.34,4938.0,0,105.65,102.5,112.0,9.5,9.2683,USD,1
2026-06-09,SNABO,5206.0,5.0,0,103000.0,0.0,120800.0,,,ARS,2
2026-06-09,OTS2D,4974.58,4858.0,0,102.35,102.1,102.6,0.5,0.4897,USD,2
2026-06-09,LMS8D,4881.42,4597.0,0,106.2,104.2,108.8,4.6,4.4146,USD,2
2026-06-09,VBC2D,4377.91,4223.0,0,103.35,0.0,0.0,,,USD,1
2026-06-09,ARC1D,4288.0,4000.0,0,107.2,0.0,0.0,,,USD,1
2026-06-09,GYC5D,3981.62,3980.0,0,101.4,98.25,101.5,3.25,3.3079,USD,2
2026-06-09,SNEAO,3810.5,6.0,0,65900.0,0.0,78000.0,,,ARS,1
2026-06-09,MR39D,3757.6,4887.0,0,77.05,0.0,84.85,,,USD,2
2026-06-09,MIC3D,3078.5,3036.0,0,101.4,99.5,103.5,4.0,4.0201,USD,2
2026-06-09,LMS7C,2923.13,3478.0,0,84.56,83.5,0.0,,,EXT,2
2026-06-09,YM35D,2631.2,2585.0,0,101.9,101.0,104.25,3.25,3.2178,USD,1
2026-06-09,HJCHD,2518.2,2400.0,0,104.95,103.0,0.0,,,USD,2
2026-06-09,PLC6C,2484.0,2500.0,0,99.36,0.0,0.0,,,EXT,2
2026-06-09,CAC5D,2224.59,3368.0,0,66.1,65.7,66.5,0.8,1.2177,USD,2
2026-06-09,PN41C,2100.0,2000.0,0,105.0,0.0,0.0,,,EXT,2
2026-06-09,YM43D,1884.78,1882.0,0,99.45,98.5,101.6,3.1,3.1472,USD,1
2026-06-09,ZPC1O,1864.99,1853.0,0,100.65,98.0,0.0,,,ARS,2
2026-06-09,LUC5D,1778.2,1760.0,0,102.0,0.0,0.0,,,USD,1
2026-06-09,DNCAD,1673.6,1600.0,0,104.6,0.0,105.8,,,USD,1
2026-06-09,CS48D,1620.05,1504.0,0,109.3,0.0,109.5,,,USD,1
2026-06-09,IRCJD,1518.86,1470.0,0,103.1,102.75,103.85,1.1,1.0706,USD,2
2026-06-09,GN48D,1418.64,1380.0,0,102.8,99.1,103.1,4.0,4.0363,USD,2
2026-06-09,CP37O,1410.2,1.0,0,141020.0,0.0,0.0,,,ARS,2
2026-06-09,PN34C,1277.44,1281.0,0,99.81,0.0,0.0,,,EXT,2
2026-06-09,DNC3D,1243.91,1220.0,0,102.0,101.5,103.1,1.6,1.5764,USD,1
2026-06-09,EMC1D,1185.18,1132.0,0,105.8,0.0,108.5,,,USD,1
2026-06-09,PN43D,1096.0,1000.0,0,109.6,0.0,0.0,,,USD,1
2026-06-09,HJCJD,1068.5,1000.0,0,106.85,103.1,0.0,,,USD,1
2026-06-09,YMCJC,1046.91,1037.0,0,102.95,100.0,0.0,,,EXT,2
2026-06-09,IRCND,1045.72,996.0,0,103.1,102.1,0.0,,,USD,2
2026-06-09,VSCXC,1044.0,1000.0,0,104.4,0.0,0.0,,,EXT,1
2026-06-09,BYCVD,1031.5,1000.0,0,103.15,98.1,103.75,5.65,5.7594,USD,2
2026-06-09,BYCWD,1029.5,1000.0,0,102.95,101.5,106.0,4.5,4.4335,USD,2
2026-06-09,MGCTD,1012.0,1000.0,0,101.2,99.01,105.0,5.99,6.0499,USD,1
2026-06-09,MGCTC,993.2,1000.0,0,99.32,0.0,0.0,,,EXT,2
2026-06-09,PECKO,760.0,1.0,0,76000.0,0.0,84900.0,,,ARS,2
2026-06-09,YM34C,736.42,686.0,0,107.3,0.0,0.0,,,EXT,1
2026-06-09,YM41D,686.0,649.0,0,105.7,101.3,105.7,4.4,4.3435,USD,1
2026-06-09,CLI1D,649.5,2093.0,0,31.03,0.0,33.3,,,USD,2
2026-06-09,CAC5D,578.68,851.0,0,68.0,65.0,69.95,4.95,7.6154,USD,1
2026-06-09,MSSED,524.81,501.0,0,105.95,103.0,106.0,3.0,2.9126,USD,2
2026-06-09,YMCIC,449.9,409.0,0,110.0,0.0,0.0,,,EXT,1
2026-06-09,CS47D,439.51,429.0,0,102.45,101.0,109.5,8.5,8.4158,USD,1
2026-06-09,PN38C,400.4,385.0,0,104.0,100.0,0.0,,,EXT,2
