issuer,cuit,sector,rating_lp,rating_cp,outlook,n_ons,total_volume,avg_liquidity_score,avg_spread_pct,avg_years_to_maturity
YPF S.A.,30546689979,Energía - Petróleo y Gas,AAA(arg),A1+(arg),Perspectiva Estable,42,4836404504.5,57.3826,4.1874,2.8425
Telecom Argentina S.A.,30639453738,Telecomunicaciones,AA+(arg),A1+(arg),Perspectiva Positiva,18,883882424.07,55.4934,4.5256,3.8715
Pan American Energy LLC (PAE Sucursal),30714813583,Energía - Petróleo y Gas,AAA(arg),A1+(arg),Perspectiva Estable,32,519750449.06,50.5124,8.9533,3.853
Pluspetrol S.A.,30678224010,Energía - Petróleo y Gas,AAA(arg),,Perspectiva Estable,7,458136244.7,57.182,,4.1005
Tarjeta Naranja S.A.U.,30685376349,Financiero - Consumo,AA(arg),A1+(arg),Perspectiva Estable,4,339978736.0,53.35,,0.9807
Tecpetrol S.A.,30592665472,Energía - Petróleo y Gas,AAA(arg),A1+(arg),Perspectiva Estable,6,337520424.47,61.3764,7.0974,2.4772
Petroquímica Comodoro Rivadavia S.A.,30563598111,Industria - Petroquímica,AA(arg),A1+(arg),Perspectiva Estable,5,230849575.9,51.6837,,3.4956
Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,AAA(arg),A1+(arg),Perspectiva Estable,25,178755249.31,53.538,3.7795,1.5463
MSU S.A.,30607597193,Energía,A+(arg),,Perspectiva Estable,8,130922676.91,52.7692,2.9126,0.9473
Pampa Energía S.A.,30526552659,Energía - Electricidad,AAA(arg),A1+(arg),Perspectiva Estable,17,113331003.37,54.0445,2.8705,4.0954
EMPRESA DISTRIB DE ELECTRICIDAD DE MENDOZA S.A.,30699542454,,A+(arg),A1(arg),Perspectiva Estable,3,87906431.9,54.16,,2.4047
Capex S.A.,30629827060,Energía - Electricidad,AA(arg),,Perspectiva Estable,13,79963396.3,51.9586,4.0433,1.8773
John Deere Credit Cía. Financiera S.A.,30707024859,Financiero - Crédito Industrial,AA(arg),A1+(arg),Perspectiva Estable,10,69788397.11,54.6594,,1.465
Minera Exar S.A.,30709667587,Minería - Litio,AA(arg),,Perspectiva Estable,3,62316305.1,55.546,7.0,1.4511
IRSA Inversiones y Representaciones S.A.,30524688673,Real Estate,AAA(arg),A1+(arg),Perspectiva Estable,8,58211881.46,55.2153,3.193,2.0745
SION S.A.,30690076043,,,,,5,51419440.7,54.1829,14.4068,2.421
Mastellone Hermanos S.A.,30547242331,Alimentos - Lácteos,,,,2,51075912.3,59.86,200.0,0.0849
Aeropuertos Argentina 2000 S.A.,30696170580,Infraestructura - Aeropuertos,AA+(arg),,Perspectiva Estable,3,50978321.5,65.292,7.8971,5.1718
ARCOR S.A.I.C.,30502793175,,AAA(arg),A1+(arg),Perspectiva Estable,8,50265748.09,48.9131,,2.7633
Banco de Galicia y Buenos Aires S.A.,30500001735,Financiero - Bancos,AAA(arg),A1+(arg),Perspectiva Estable,14,29419161.0,47.1152,4.378,0.6537
Empresa Distrib. de Electricidad Salta S.A.,30690633635,Energía - Electricidad,A+(arg),,Perspectiva Estable,1,28967065.0,65.32,2.7159,0.7392
Genneia S.A.,30665234114,Energía - Renovable,,,,13,23437282.24,51.6165,3.6191,2.3447
Balanz Capital Valores S.A.,30710630670,Financiero,A(arg),A2(arg),Perspectiva Estable,3,22036900.0,55.5425,,0.0192
Generación Mediterránea / Central Térmica Roca S.A.,33711944899,Energía - Electricidad,,,,4,21955705.4,52.2757,,5.4237
[EMC],,Sin mapear,,,,3,18196202.18,64.28,5.8953,1.0951
PETROLERA ACONCAGUA ENERGIA S.A.,30714814229,,,,,6,17710695.01,52.173,6.25,5.439
YPF Energía Eléctrica S.A.,30714128309,Energía - Electricidad,AAA(arg),A1+(arg),Perspectiva Estable,5,11899472.9,45.3543,,2.4527
MIRGOR S.A.,30578036071,,,,,3,11832748.7,59.4233,3.9332,0.9664
[LDC],,Sin mapear,,,,1,9299259.5,55.625,,1.347
Cía. General de Combustibles S.A.,30506733932,Energía - Gas,AA-(arg),,Perspectiva Estable,9,7949123.37,47.9947,2.3303,1.0976
[BGC],,Sin mapear,,,,1,7148072.0,55.54,,0.4572
[OTS],,Sin mapear,,,,5,5699590.51,53.442,0.4897,1.5584
[GYC],,Sin mapear,,,,4,3404961.36,56.5571,2.6744,1.9544
Banco Comafi S.A.,30604731018,Financiero - Bancos,AA(arg),A1+(arg),Perspectiva Estable,11,2089170.25,43.8568,,1.1181
[LIC],,Sin mapear,,,,1,1274138.2,54.82,,0.0903
EDENOR S.A.,30655116202,,A+(arg),A1+(arg),Perspectiva Estable,8,597266.32,57.6369,1.8657,4.7875
Vista Oil & Gas Argentina S.A.U.,33515950899,Energía - Petróleo y Gas,,,,23,562244.56,45.1523,16.9108,2.8326
MERCADO PAGO SERVICIOS DE PROCESAMIENTO S.R.L.,30716999498,,AAA(arg),A1+(arg),Perspectiva Estable,4,506804.63,52.7429,200.0,0.5265
CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,,AA(arg),A1+(arg),Perspectiva Estable,4,373748.91,58.2612,7.7599,1.6462
[TSC],,Sin mapear,,,,4,130651.0,47.2662,,6.2314
Rizobacter Argentina S.A.,30593174057,Agro - Biotech,CC(arg),C(arg),N.C,6,114980.0,48.2322,9.0909,0.237
PATAGONIA FRUITS TRADE S.A,30690967541,,,,,2,101550.66,61.3075,1.8302,2.2834
CERAMICA RUTA 16 S.R.L.,30710080085,,,,,1,83499.5,73.785,0.5976,1.4182
[NPC],,Sin mapear,,,,1,75194.38,71.65,2.4898,3.9179
SAN BAUTISTA DEL SUR SA,30715659340,,,,,4,56185.1,51.75,4.2,2.297
[LUC],,Sin mapear,,,,5,53503.77,48.2389,0.9881,2.3822
BANCO BBVA ARGENTINA S.A.,30500003193,,AAA(arg),A1+(arg),Perspectiva Estable,7,40162.84,43.576,,1.6011
[OT4],,Sin mapear,,,,1,34560.08,62.32,,3.6359
BLM DESARROLLOS SA,30718221516,,,,,12,27946.8,46.9195,4.3502,1.5035
[AER],,Sin mapear,,,,9,20054.4,46.425,1.2671,1.0429
[VBC],,Sin mapear,,,,2,13361.39,56.0275,6.9317,0.5243
S.A. San Miguel,30511190238,Agro - Frutícola,,,,1,5206.0,51.73,,0.1643
PLAZA LOGISTICA S.R.L.,30655942382,,AA(arg),A1+(arg),Perspectiva Estable,3,1864.99,44.555,,1.0111
[CLI],,Sin mapear,,,,1,649.5,50.67,,8.5311
Tarjeta Naranja S.A.,30685376349,Financiero - Crédito Consumo,AA(arg),A1+(arg),Perspectiva Estable,4,102.0,44.2483,,0.5585
[RVS],,Sin mapear,,,,1,62.82,50.31,,0.7474
Rombo Cía. Financiera S.A.,33707124909,Financiero - Crédito Automotriz,AA(arg),A1+(arg),Perspectiva Estable,4,0.0,41.19,,0.6987
[RAC],,Sin mapear,,,,2,0.0,41.19,,3.9014
PSA Finance Argentina Cía. Financiera S.A.,30707847367,Financiero - Crédito Automotriz,AA(arg),A1+(arg),Perspectiva Estable,2,0.0,41.19,,1.2718
[PHC],,Sin mapear,,,,1,0.0,41.19,,0.6324
PETROQUIMICA COMODORO RIVADAVIA S.A,30563598111,,AA(arg),A1+(arg),Perspectiva Estable,1,0.0,41.19,,1.128
PAN AMERICAN ENERGY LLC (PAE SUCURSAL),30714813583,,AAA(arg),A1+(arg),Perspectiva Estable,2,0.0,41.19,,1.0951
PRODEMAN S.A.,33669088499,,,,,1,0.0,41.19,,0.271
[NLC],,Sin mapear,,,,9,0.0,41.19,,0.9966
PROMEDON S.A.,30619780635,,,,,2,0.0,41.19,,2.5681
Agronorte S.R.L.,30547794482,Agro,,,,2,0.0,41.19,,0.9966
OLEODUCTOS DEL VALLE S.A.,30658840165,,AAA(arg),,Perspectiva Estable,10,0.0,41.19,,1.7606
[ROC],,Sin mapear,,,,1,0.0,41.19,,1.3279
NUEVO BANCO DEL CHACO S.A.,30670157799,,A-(arg),A2(arg),Perspectiva Estable,2,0.0,41.19,,0.5284
[MU3],,Sin mapear,,,,4,0.0,41.19,,1.305
[MJC],,Sin mapear,,,,1,0.0,41.19,,0.7255
Arcor S.A.I.C.,30502793175,Consumo - Alimentos,AAA(arg),A1+(arg),Perspectiva Estable,3,0.0,41.19,,0.6771
[STC],,Sin mapear,,,,1,0.0,41.19,,0.7228
[SIC],,Sin mapear,,,,1,0.0,41.19,,0.5284
S.A. SAN MIGUEL,30511190238,,,,,1,0.0,41.19,,0.1643
SPECIAL GRAINS S.A/PETROAGRO S.A.,30600615889,,,,,1,0.0,41.19,,0.3669
[SPC],,Sin mapear,,,,3,0.0,41.19,,0.0767
[TE5],,Sin mapear,,,,1,0.0,41.19,,0.2765
TOYOTA COMPANIA FINANCIERA DE ARGENTINA,30709000426,,AA+(arg),A1+(arg),Perspectiva Estable,1,0.0,41.19,,0.0192
[VA1],,Sin mapear,,,,3,0.0,41.19,,0.3039
[VAC],,Sin mapear,,,,1,0.0,41.19,,1.41
LABORATORIOS RICHMOND S.A.C.I.F.,30501152826,,A(arg),A2(arg),Perspectiva Estable,1,0.0,41.19,,0.5311
RICARDO VENTURINO S.A,30698318895,,,,,1,0.0,41.19,,2.4148
VOLKSWAGEN FINANCIAL SERVICES COMPAÑIA FINANCIERA SA,30682419578,,AA(arg),A1+(arg),Perspectiva Estable,1,0.0,41.19,,0.5339
Volkswagen Financial Services Cía. Financiera S.A.,30682419578,Financiero - Crédito Automotriz,AA(arg),A1+(arg),Perspectiva Estable,1,0.0,41.19,,1.5332
BANCO MARIVA S.A.,30516420444,,,,,1,0.0,41.19,,0.334
[YCA],,Sin mapear,,,,2,0.0,41.19,,1.1417
YPF ENERGIA ELECTRICA S.A.,30714128309,,AAA(arg),A1+(arg),Perspectiva Estable,1,0.0,41.19,,0.2491
[MCC],,Sin mapear,,,,3,0.0,41.19,,2.1854
BANCO DE CREDITO Y SECURITIZACION SA,30707227415,,AA-(arg),A1+(arg),Perspectiva Estable,1,0.0,41.19,,0.46
Laboratorios Richmond S.A.C.I.F.,30501152826,Salud - Farma,A(arg),A2(arg),Perspectiva Estable,2,0.0,41.19,,0.2053
Compañía TSB S.A.,30707810927,Consumo - Automotriz,,,,1,0.0,41.19,,0.3094
CIA GENERAL DE COMBUSTIBLES S.A.,30506733932,,AA-(arg),,Perspectiva Estable,4,0.0,41.19,,0.5243
CREATIVE PMO INTERNATIONAL S.A.,30714763225,,,,,1,0.0,41.19,,0.3203
[CLS],,Sin mapear,,,,1,0.0,41.19,,1.1554
CAPEX S.A.,30629827060,,AA(arg),,Perspectiva Estable,1,0.0,41.19,,1.0979
[C13],,Sin mapear,,,,1,0.0,41.19,,4.4983
Banco de Servicios y Transacciones S.A.,30704960995,Financiero - Bancos,A+(arg),A1(arg),Perspectiva Estable,3,0.0,41.19,,0.3778
Banco Supervielle S.A.,33500005179,Financiero - Bancos,,,,7,0.0,41.19,,0.6668
[JNC],,Sin mapear,,,,1,0.0,41.19,,0.3614
Banco CMF S.A.,30576614299,Financiero - Bancos,A+(arg),A1(arg),Perspectiva Estable,1,0.0,41.19,,0.2491
[BAC],,Sin mapear,,,,4,0.0,41.19,,2.0182
[AU1],,Sin mapear,,,,1,0.0,41.19,,1.5633
[AEC],,Sin mapear,,,,3,0.0,41.19,,1.2512
Banco BBVA Argentina S.A.,30500003193,Financiero - Bancos,AAA(arg),A1+(arg),Perspectiva Estable,6,0.0,43.0244,7.0336,0.1786
[PUC],,Sin mapear,,,,1,0.0,49.755,4.5226,1.2457
[CVS],,Sin mapear,,,,2,0.0,41.19,,0.6789
[DF1],,Sin mapear,,,,2,0.0,41.19,,2.9979
[DFS],,Sin mapear,,,,1,0.0,41.19,,2.9979
CREDICUOTAS CONSUMO S.A.,30710911580,,A+(arg),A1(arg),Perspectiva Estable,2,0.0,41.19,,0.0192
Credicuotas Consumo S.A.,30710911580,Financiero - Crédito Consumo,A+(arg),A1(arg),Perspectiva Estable,2,0.0,41.19,,0.1533
[DI2],,Sin mapear,,,,4,0.0,41.19,,2.5024
[DIC],,Sin mapear,,,,2,0.0,41.19,,2.5024
MSU GREEN ENERGY S.A.U.,30714155128,,A+(arg),,Perspectiva Estable,3,0.0,41.19,,1.0997
[FO4],,Sin mapear,,,,1,0.0,41.19,,0.6434
[FPC],,Sin mapear,,,,1,0.0,41.19,,1.7002
FCA CIA. FINANCIERA SA,30692304884,,AA(arg),A1+(arg),Perspectiva Estable,1,0.0,41.19,,0.9966
[FTN],,Sin mapear,,,,2,0.0,41.19,,1.2388
[FYC],,Sin mapear,,,,1,0.0,41.19,,2.9487
GENERACION MEDITERRANEA S.A.,30682434720,,D(arg),D(arg),N.C,1,0.0,41.19,,0.1615
GENERACION LITORAL SA,33715184139,,,,,1,0.0,41.19,,2.9131
BANCO HIPOTECARIO S.A.,30500011072,,AA-(arg),A1+(arg),Perspectiva Estable,3,0.0,41.19,,0.4182
[HVS],,Sin mapear,,,,1,0.0,41.19,,2.1081
Zafra S.A.,30592486268,Agro,,,,1,0.0,41.19,,1.1335
