base,issuer,cuit,sector,byma_symbols,currencies,in_byma,has_issuer,has_rating,rating,has_price,price_usd,price_src,has_mae_cf,n_cashflows,mae_currency,has_ytm,ytm_pct,in_rv,is_outlier,rv_score,exclusion_reason
AEC2,[AEC],,Sin mapear,AEC2D AEC2O AEC2Z,ARS EXT USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
AER1,[AER],,Sin mapear,AER1D AER1Y,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
AER4,[AER],,Sin mapear,AER4D AER4O,ARS USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
AER9,[AER],,Sin mapear,AER9X,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
AERA,[AER],,Sin mapear,AERAC AERAD,EXT USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
AERB,[AER],,Sin mapear,AERBC AERBD,EXT USD,True,True,False,,True,103.3,USD,True,2,USD,True,3.879,True,False,-2.453,
AFCH,Banco Comafi S.A.,30604731018,Financiero - Bancos,AFCHD,USD,True,True,True,AA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
AFCI,Banco Comafi S.A.,30604731018,Financiero - Bancos,AFCID AFCIO,ARS USD,True,True,True,AA(arg),True,101.5,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
AFCJ,Banco Comafi S.A.,30604731018,Financiero - Bancos,AFCJD AFCJO,ARS USD,True,True,True,AA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
AFCK,Banco Comafi S.A.,30604731018,Financiero - Bancos,AFCKD AFCKO,ARS USD,True,True,True,AA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
AFCL,Banco Comafi S.A.,30604731018,Financiero - Bancos,AFCLD AFCLO,ARS USD,True,True,True,AA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
AFCM,Banco Comafi S.A.,30604731018,Financiero - Bancos,AFCMO,ARS,True,True,True,AA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
AFCN,Banco Comafi S.A.,30604731018,Financiero - Bancos,AFCNX,ARS,True,True,True,AA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
ARC1,Aeropuertos Argentina 2000 S.A.,30696170580,Infraestructura - Aeropuertos,ARC1D ARC1O ARC1X,ARS USD,True,True,True,AA+(arg),True,107.45,USD,True,21,USD,True,1.928,True,False,-9.868,
AU1L,[AU1],,Sin mapear,AU1LD,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BACA,[BAC],,Sin mapear,BACAX BACAY,ARS USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BACG,[BAC],,Sin mapear,BACGY,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BACH,[BAC],,Sin mapear,BACHY,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BCCK,Banco CMF S.A.,30576614299,Financiero - Bancos,BCCKO,ARS,True,True,True,A+(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BDCK,BANCO DE CREDITO Y SECURITIZACION SA,30707227415,,BDCKO,ARS,True,True,True,AA-(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BF35,Banco BBVA Argentina S.A.,30500003193,Financiero - Bancos,BF35X BF35Y,ARS USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BF36,Banco BBVA Argentina S.A.,30500003193,Financiero - Bancos,BF36X BF36Y,ARS USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BF37,Banco BBVA Argentina S.A.,30500003193,Financiero - Bancos,BF37D,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BF39,Banco BBVA Argentina S.A.,30500003193,Financiero - Bancos,BF39D,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BF40,BANCO BBVA ARGENTINA S.A.,30500003193,,BF40D,USD,True,True,False,,True,101.25,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
BF44,BANCO BBVA ARGENTINA S.A.,30500003193,,BF44D BF44O BF44X BF44Z,ARS EXT USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BF45,BANCO BBVA ARGENTINA S.A.,30500003193,,BF45D BF45X,ARS USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BGC4,[BGC],,Sin mapear,BGC4O,ARS,True,True,False,,True,95.1719,ARS/CCL,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
BPCQ,Banco Supervielle S.A.,33500005179,Financiero - Bancos,BPCQY,USD,True,True,True,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BPCS,Banco Supervielle S.A.,33500005179,Financiero - Bancos,BPCSO,ARS,True,True,True,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BPCT,Banco Supervielle S.A.,33500005179,Financiero - Bancos,BPCTO,ARS,True,True,True,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BPCU,Banco Supervielle S.A.,33500005179,Financiero - Bancos,BPCUO BPCUY,ARS USD,True,True,True,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BPCV,Banco Supervielle S.A.,33500005179,Financiero - Bancos,BPCVO BPCVY,ARS USD,True,True,True,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BT21,Compañía TSB S.A.,30707810927,Consumo - Automotriz,BT21P,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BVCO,Banco de Servicios y Transacciones S.A.,30704960995,Financiero - Bancos,BVCOO,ARS,True,True,True,A+(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BVCR,Banco de Servicios y Transacciones S.A.,30704960995,Financiero - Bancos,BVCRX,ARS,True,True,True,A+(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BVCT,Banco de Servicios y Transacciones S.A.,30704960995,Financiero - Bancos,BVCTX,ARS,True,True,True,A+(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BYC2,Banco de Galicia y Buenos Aires S.A.,30500001735,Financiero - Bancos,BYC2O BYC2P BYC2X,ARS USD,True,True,True,AAA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BYCH,Banco de Galicia y Buenos Aires S.A.,30500001735,Financiero - Bancos,BYCHX BYCHY,ARS USD,True,True,True,AAA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
BYCV,Banco de Galicia y Buenos Aires S.A.,30500001735,Financiero - Bancos,BYCVC BYCVD BYCVO BYCVZ,ARS EXT USD,True,True,True,AAA(arg),True,103.15,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
BYCW,Banco de Galicia y Buenos Aires S.A.,30500001735,Financiero - Bancos,BYCWD BYCWO BYCWY,ARS USD,True,True,True,AAA(arg),True,102.95,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
BYCX,Banco de Galicia y Buenos Aires S.A.,30500001735,Financiero - Bancos,BYCXD BYCXY,USD,True,True,True,AAA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
C138,[C13],,Sin mapear,C138C,EXT,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CAC5,Capex S.A.,30629827060,Energía - Electricidad,CAC5D CAC5O CAC5Y,ARS USD,True,True,True,AA(arg),True,66.1,USD,True,5,USD,True,6.413,True,False,0.424,
CAC6,Capex S.A.,30629827060,Energía - Electricidad,CAC6O CAC6Z,ARS EXT,True,True,True,AA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CAC7,Capex S.A.,30629827060,Energía - Electricidad,CAC7O CAC7Z,ARS EXT,True,True,True,AA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CACA,CAPEX S.A.,30629827060,,CACAO,ARS,True,True,True,AA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CACB,Capex S.A.,30629827060,Energía - Electricidad,CACBC CACBD CACBO,ARS EXT USD,True,True,True,AA(arg),True,101.9,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
CACD,Capex S.A.,30629827060,Energía - Electricidad,CACDC CACDD CACDX,ARS EXT USD,True,True,True,AA(arg),True,105.1,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
CIC7,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,,CIC7D,USD,True,True,True,AA(arg),True,99.5,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
CIC8,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,,CIC8D,USD,True,True,True,AA(arg),True,100.5,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
CIC9,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,,CIC9O,ARS,True,True,True,AA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CICB,CNH INDUSTRIAL CAPITAL ARGENTINA S.A.,30714322938,,CICBD,USD,True,True,True,AA(arg),True,102.0,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
CLI1,[CLI],,Sin mapear,CLI1D,USD,True,True,False,,True,31.03,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
CLSI,[CLS],,Sin mapear,CLSIY,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CMS1,CREATIVE PMO INTERNATIONAL S.A.,30714763225,,CMS1P,ARS,True,True,True,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CP28,CIA GENERAL DE COMBUSTIBLES S.A.,30506733932,,CP28C CP28X CP28Y,ARS EXT USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CP31,Cía. General de Combustibles S.A.,30506733932,Energía - Gas,CP31C CP31D CP31O,ARS EXT USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CP36,Cía. General de Combustibles S.A.,30506733932,Energía - Gas,CP36D CP36O,ARS USD,True,True,False,,True,99.5,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
CP37,Cía. General de Combustibles S.A.,30506733932,Energía - Gas,CP37O,ARS,True,True,False,,True,94.9833,ARS/CCL,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
CP38,Cía. General de Combustibles S.A.,30506733932,Energía - Gas,CP38X,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CP39,Cía. General de Combustibles S.A.,30506733932,Energía - Gas,CP39O CP39X,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CP40,CIA GENERAL DE COMBUSTIBLES S.A.,30506733932,,CP40Y,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CS40,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,CS40Z,EXT,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CS44,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,CS44C CS44O,ARS EXT,True,True,False,,True,99.5836,ARS/CCL,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
CS45,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,CS45C CS45D CS45O CS45Z,ARS EXT USD,True,True,False,,True,102.2845,ARS/CCL,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
CS46,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,CS46C CS46D CS46O CS46X,ARS EXT USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CS47,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,CS47C CS47D CS47O CS47Y,ARS EXT USD,True,True,False,,True,102.95,USD,True,5,USD,True,5.859,True,False,0.352,
CS48,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,CS48D CS48O,ARS USD,True,True,False,,True,107.6,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
CS49,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,CS49D CS49O,ARS USD,True,True,False,,True,104.6,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
CS50,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,CS50C,EXT,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CS51,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,CS51X CS51Y,ARS USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CS52,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,CS52D CS52X,ARS USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CS53,Cresud S.A.C.I.F. y A.,30509300700,Agro - Real Estate,CS53D,USD,True,True,False,,True,100.8,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
CVS3,[CVS],,Sin mapear,CVS3V,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
CVS4,[CVS],,Sin mapear,CVS4V,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DEC2,Empresa Distrib. de Electricidad Salta S.A.,30690633635,Energía - Electricidad,DEC2O,ARS,True,True,True,A+(arg),True,97.0645,ARS/CCL,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
DF1L,[DF1],,Sin mapear,DF1LC DF1LD,EXT USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DFS1,[DFS],,Sin mapear,DFS1L,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DHSE,CREDICUOTAS CONSUMO S.A.,30710911580,,DHSEO DHSEX,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DHSG,Credicuotas Consumo S.A.,30710911580,Financiero - Crédito Consumo,DHSGO,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DHSH,Credicuotas Consumo S.A.,30710911580,Financiero - Crédito Consumo,DHSHO,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DI2L,[DI2],,Sin mapear,DI2LC DI2LD,EXT USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DI2LC.S,[DI2],,Sin mapear,DI2LC.SB,EXT,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DI2LD.S,[DI2],,Sin mapear,DI2LD.SB,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DIC2,[DIC],,Sin mapear,DIC2L,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DIC2L.S,[DIC],,Sin mapear,DIC2L.SB,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DNC3,EDENOR S.A.,30655116202,,DNC3D,USD,True,True,True,A+(arg),True,101.85,USD,True,1,USD,True,6.356,True,True,,outlier (YTM o duration fuera de rango)
DNC5,EDENOR S.A.,30655116202,,DNC5Y,USD,True,True,True,A+(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
DNC7,EDENOR S.A.,30655116202,,DNC7C DNC7Y,EXT USD,True,True,True,A+(arg),True,103.85,EXT,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
DNCA,EDENOR S.A.,30655116202,,DNCAC DNCAD DNCAX DNCAY,ARS EXT USD,True,True,True,A+(arg),True,100.7,EXT,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
EAC1,MSU GREEN ENERGY S.A.U.,30714155128,,EAC1D EAC1O,ARS USD,True,True,True,A+(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
EAC3,MSU GREEN ENERGY S.A.U.,30714155128,,EAC3Y,USD,True,True,True,A+(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
EMC1,[EMC],,Sin mapear,EMC1D EMC1O EMC1X,ARS USD,True,True,False,,True,105.75,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
FO4B,[FO4],,Sin mapear,FO4BD,USD,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
FPC1,[FPC],,Sin mapear,FPC1O,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
FTL1,FCA CIA. FINANCIERA SA,30692304884,,FTL1O,ARS,True,True,True,AA(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
FTN1,[FTN],,Sin mapear,FTN1X,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
FTN3,[FTN],,Sin mapear,FTN3X,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
FYC1,[FYC],,Sin mapear,FYC1O,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
GMCG,GENERACION MEDITERRANEA S.A.,30682434720,,GMCGO,ARS,True,True,True,D(arg),False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
GN37,Genneia S.A.,30665234114,Energía - Renovable,GN37O GN37Z,ARS EXT,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
GN41,Genneia S.A.,30665234114,Energía - Renovable,GN41O,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
GN42,Genneia S.A.,30665234114,Energía - Renovable,GN42O,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
GN43,Genneia S.A.,30665234114,Energía - Renovable,GN43O,ARS,True,True,False,,True,101.7052,ARS/CCL,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
GN47,Genneia S.A.,30665234114,Energía - Renovable,GN47C GN47O GN47X,ARS EXT,True,True,False,,True,97.664,ARS/CCL,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
GN48,Genneia S.A.,30665234114,Energía - Renovable,GN48C GN48D GN48O,ARS EXT USD,True,True,False,,True,102.8,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
GN49,Genneia S.A.,30665234114,Energía - Renovable,GN49D GN49O,ARS USD,True,True,False,,True,109.0,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
GOC4,GENERACION LITORAL SA,33715184139,,GOC4O,ARS,True,True,True,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
GYC3,[GYC],,Sin mapear,GYC3O,ARS,True,True,False,,False,,—,False,0,,False,,False,,,sin precio USD válido en BYMA
GYC4,[GYC],,Sin mapear,GYC4D,USD,True,True,False,,True,99.25,USD,False,0,,False,,False,,,MAE devuelve respuesta vacía (sin detalle)
